"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 28 12:53:29 CST 2020","Fri Aug 28 12:53:32 CST 2020","3359","case.mp","test03_mp_ari","TestAri","","","test_ari[title-文章内容01-c++-新增文章成功]",""
"passed","Fri Aug 28 12:54:06 CST 2020","Fri Aug 28 12:54:49 CST 2020","43383","case.app","test_query_aritcal","TestQueryAcitcal","","","test_qy_aritcal_0_python",""
"passed","Fri Aug 28 12:53:39 CST 2020","Fri Aug 28 12:53:40 CST 2020","475","case.mis","test02_mis_login","TestMisLogin","","","test_mis_login",""
"passed","Fri Aug 28 12:53:40 CST 2020","Fri Aug 28 12:53:50 CST 2020","10185","case.mis","test03_aritcal_manage","TestAritcalMana","","","test_aduit_ari_pass",""
"passed","Fri Aug 28 12:53:18 CST 2020","Fri Aug 28 12:53:18 CST 2020","0","case.mp","test01_begin","Test_begin","","","test_begin",""
"passed","Fri Aug 28 12:54:49 CST 2020","Fri Aug 28 12:55:00 CST 2020","10754","case.app","test_query_aritcal","TestQueryAcitcal","","","test_qy_aritcal_1_linux",""
"passed","Fri Aug 28 12:53:24 CST 2020","Fri Aug 28 12:53:27 CST 2020","2322","case.mp","test02_mp_login","TestLogin","","","test_login",""
"passed","Fri Aug 28 12:53:50 CST 2020","Fri Aug 28 12:53:55 CST 2020","4789","case.mis","test_end","Test_begin","","","test_begin",""
"passed","Fri Aug 28 12:53:55 CST 2020","Fri Aug 28 12:54:00 CST 2020","4794","case.mp","test_end","Test_begin","","","test_begin",""
"passed","Fri Aug 28 12:53:32 CST 2020","Fri Aug 28 12:53:32 CST 2020","0","case.mis","test01_begin","Test_begin","","","test_begin",""
